Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-04-03;8.9;21.0;14.1;19.9;16.1;21.9;13.0;21.0;18.1
2017-04-04;18.1;18.1;16.1;13.0;19.9;10.1;13.0;30.0;15.0
2017-04-05;14.1;18.1;13.0;12.1;17.0;13.0;14.1;29.1;21.9
2017-04-06;14.1;51.0;17.0;18.1;17.0;29.1;13.0;35.1;36.9
2017-04-07;14.1;29.1;15.0;25.1;14.1;25.1;13.0;35.1;21.9
2017-04-08;25.1;30.0;18.1;29.1;30.0;16.1;21.0;28.0;21.9
2017-04-09;14.1;18.1;16.1;13.0;19.9;13.0;17.0;23.0;18.1
2017-04-10;12.1;17.0;14.1;10.1;18.1;12.1;13.0;25.1;19.9
2017-04-11;18.1;25.1;16.1;10.1;23.0;23.0;15.0;31.1;21.9
2017-04-12;21.0;25.9;16.1;17.0;23.9;25.9;17.0;23.0;23.0
2017-04-13;21.0;25.9;17.0;25.1;25.9;21.9;21.9;23.9;21.0
2017-04-14;17.0;21.9;15.0;21.9;18.1;17.0;15.0;38.9;21.0
2017-04-15;13.0;16.1;14.1;10.1;15.0;8.1;13.0;29.1;15.0
2017-04-16;18.1;25.1;14.1;21.0;18.1;18.1;16.1;23.9;21.0
2017-04-17;13.0;12.1;14.1;17.0;18.1;12.1;19.9;25.1;14.1
2017-04-18;15.0;19.9;16.1;13.0;18.1;15.0;15.0;18.1;21.0
2017-04-19;16.1;16.1;15.0;15.0;21.0;18.1;19.9;28.0;19.9
2017-04-20;21.9;21.9;23.0;25.1;29.1;13.0;16.1;23.9;19.9
2017-04-21;14.1;16.1;17.0;13.0;19.9;13.0;14.1;25.9;17.0
2017-04-22;13.0;23.9;14.1;21.9;18.1;15.0;14.1;28.0;19.9
2017-04-23;18.1;28.0;14.1;21.0;21.9;18.1;14.1;21.9;21.0
2017-04-24;28.0;25.1;23.0;25.9;25.1;21.0;16.1;29.1;18.1
2017-04-25;25.1;23.0;28.0;21.9;25.9;15.0;15.0;12.1;21.9
2017-04-26;25.1;25.9;29.1;18.1;25.1;23.0;15.0;21.0;21.9
2017-04-27;23.9;21.0;29.1;28.0;23.9;17.0;14.1;16.1;23.0
2017-04-28;25.1;21.9;30.0;29.1;31.1;25.9;19.9;25.1;21.0
2017-04-29;15.0;19.9;29.1;13.0;23.0;19.9;16.1;23.9;18.1
2017-04-30;10.1;18.1;16.1;18.1;16.1;10.1;16.1;25.9;18.1
2017-05-01;10.1;19.9;13.0;17.0;17.0;23.9;13.0;33.1;21.0
2017-05-02;12.1;18.1;13.0;15.0;14.1;23.0;12.1;28.0;18.1
2017-05-03;13.0;15.0;14.1;12.1;15.0;13.0;13.0;25.1;15.0
2017-05-04;17.0;23.9;16.1;18.1;21.0;17.0;14.1;30.0;17.0
2017-05-05;13.0;29.1;15.0;25.9;15.0;21.0;12.1;38.0;23.0
2017-05-06;28.0;21.9;21.0;19.9;33.1;14.1;29.1;29.1;18.1
2017-05-07;14.1;21.0;17.0;17.0;16.1;25.1;25.9;25.1;19.9
2017-05-08;16.1;18.1;15.0;10.1;19.9;13.0;21.0;28.0;16.1
2017-05-09;18.1;21.9;16.1;14.1;19.9;15.0;15.0;25.1;23.0
2017-05-10;12.1;19.9;12.1;18.1;14.1;23.9;12.1;25.9;21.0
2017-05-11;17.0;19.9;14.1;23.0;21.0;18.1;17.0;25.1;21.0
2017-05-12;15.0;31.1;15.0;25.1;21.0;17.0;14.1;30.0;25.1
2017-05-13;25.1;25.1;18.1;23.0;19.9;16.1;15.0;42.9;23.9
2017-05-14;17.0;18.1;17.0;18.1;17.0;18.1;16.1;36.9;19.9
2017-05-15;21.9;23.9;16.1;14.1;19.9;19.9;19.9;23.0;21.9
2017-05-16;15.0;25.9;16.1;21.9;17.0;21.0;14.1;23.0;16.1
2017-05-17;25.1;25.1;14.1;21.0;21.0;18.1;14.1;28.0;21.9
2017-05-18;17.0;23.0;15.0;8.9;17.0;19.9;13.0;21.9;19.9
2017-05-19;14.1;16.1;17.0;12.1;19.9;8.9;19.9;21.9;18.1
2017-05-20;15.0;17.0;16.1;14.1;18.1;10.1;21.0;38.0;19.9
2017-05-21;13.0;19.9;14.1;15.0;17.0;10.1;12.1;33.1;16.1
2017-05-22;12.1;17.0;13.0;12.1;17.0;10.1;14.1;29.1;15.0
2017-05-23;13.0;21.9;16.1;15.0;21.9;16.1;16.1;38.0;17.0
2017-05-24;18.1;21.0;19.9;18.1;19.9;23.0;14.1;33.1;16.1
2017-05-25;10.1;28.0;14.1;16.1;15.0;21.0;14.1;32.0;25.9
2017-05-26;14.1;19.9;13.0;8.9;18.1;18.1;15.0;30.0;16.1
2017-05-27;15.0;19.9;15.0;12.1;18.1;16.1;18.1;25.9;17.0
2017-05-28;13.0;21.0;13.0;13.0;18.1;16.1;17.0;21.9;17.0
2017-05-29;16.1;23.9;15.0;17.0;15.0;18.1;12.1;25.9;19.9
2017-05-30;12.1;23.0;15.0;17.0;13.0;17.0;14.1;25.1;19.9
2017-05-31;12.1;21.0;13.0;16.1;12.1;16.1;15.0;25.9;21.0
2017-06-01;12.1;23.9;13.0;16.1;17.0;16.1;14.1;19.9;21.0
2017-06-02;12.1;19.9;13.0;14.1;17.0;13.0;15.0;31.1;21.0
2017-06-03;14.1;19.9;15.0;17.0;15.0;15.0;10.1;21.0;17.0
2017-06-04;12.1;21.9;14.1;17.0;15.0;18.1;10.1;25.9;21.0
2017-06-05;13.0;19.9;15.0;15.0;14.1;14.1;13.0;29.1;18.1
2017-06-06;14.1;19.9;16.1;14.1;14.1;17.0;12.1;25.9;18.1
2017-06-07;11.0;21.0;14.1;18.1;16.1;21.0;12.1;36.0;18.1
2017-06-08;17.0;21.9;13.0;18.1;21.9;21.0;17.0;28.0;16.1
2017-06-09;21.9;25.9;16.1;21.0;21.9;25.1;13.0;29.1;21.9
2017-06-10;12.1;29.1;15.0;21.9;17.0;16.1;14.1;29.1;21.9
2017-06-11;23.9;33.1;17.0;29.1;21.9;21.0;16.1;28.0;23.9
2017-06-12;29.1;17.0;15.0;14.1;23.0;16.1;16.1;30.0;19.9
2017-06-13;13.0;18.1;15.0;13.0;17.0;10.1;15.0;30.0;21.0
2017-06-14;12.1;19.9;13.0;12.1;16.1;16.1;12.1;29.1;21.9
2017-06-15;12.1;18.1;14.1;18.1;15.0;14.1;13.0;21.0;21.0
2017-06-16;12.1;17.0;14.1;13.0;15.0;16.1;12.1;17.0;19.9
2017-06-17;13.0;16.1;14.1;13.0;15.0;21.9;12.1;30.0;17.0
2017-06-18;13.0;21.0;13.0;12.1;15.0;21.0;10.1;25.9;18.1
2017-06-19;16.1;21.9;14.1;13.0;16.1;16.1;15.0;36.9;17.0
2017-06-20;10.1;21.9;14.1;14.1;17.0;15.0;15.0;28.0;17.0
2017-06-21;10.1;18.1;14.1;12.1;15.0;12.1;12.1;30.0;18.1
2017-06-22;17.0;21.0;13.0;10.1;15.0;17.0;13.0;33.1;17.0
2017-06-23;16.1;21.9;15.0;15.0;18.1;16.1;15.0;38.0;16.1
2017-06-24;12.1;19.9;16.1;15.0;16.1;21.9;16.1;31.1;16.1
2017-06-25;13.0;21.0;21.9;17.0;21.9;18.1;14.1;29.1;18.1
2017-06-26;13.0;23.0;17.0;16.1;18.1;21.9;15.0;21.0;18.1
2017-06-27;15.0;21.9;16.1;15.0;17.0;17.0;12.1;25.9;18.1
2017-06-28;12.1;18.1;15.0;13.0;15.0;15.0;13.0;30.0;16.1
2017-06-29;10.1;19.9;14.1;15.0;16.1;16.1;13.0;21.9;18.1
2017-06-30;12.1;23.9;13.0;16.1;16.1;18.1;13.0;23.0;17.0
2017-07-01;12.1;23.9;15.0;13.0;15.0;17.0;13.0;25.1;15.0
2017-07-02;13.0;18.1;14.1;12.1;14.1;16.1;12.1;30.0;18.1
2017-07-03;15.0;21.0;13.0;13.0;17.0;19.9;14.1;25.9;17.0
2017-07-04;15.0;21.0;14.1;13.0;21.0;16.1;16.1;25.1;18.1
2017-07-05;15.0;19.9;14.1;15.0;15.0;15.0;13.0;25.9;14.1
2017-07-06;13.0;21.0;13.0;14.1;18.1;13.0;14.1;25.1;16.1
2017-07-07;13.0;16.1;16.1;14.1;16.1;14.1;12.1;33.1;18.1
2017-07-08;13.0;21.0;17.0;17.0;14.1;17.0;14.1;28.0;18.1
