Date;SBA;OAK;BUR;FAT;LAX;SMF;SAN;SFO;SJC
2017-04-04;21.9;23.0;19.9;15.0;23.0;14.1;18.1;36.9;19.9
2017-04-05;17.0;21.0;17.0;15.0;19.9;16.1;17.0;34.0;23.9
2017-04-06;17.0;62.0;21.0;21.0;21.9;38.0;16.1;40.0;53.9
2017-04-07;18.1;36.9;19.9;36.0;23.0;35.1;18.1;42.9;27.1
2017-04-08;36.9;34.0;23.9;34.0;36.0;19.9;27.1;33.1;31.1
2017-04-09;17.0;21.0;19.9;16.1;23.9;15.0;25.1;25.9;23.0
2017-04-10;15.0;19.9;18.1;14.1;21.9;14.1;17.0;31.1;25.1
2017-04-11;23.9;31.1;28.0;14.1;32.0;29.1;19.0;36.0;28.0
2017-04-12;23.9;32.0;21.9;21.9;29.1;34.0;21.0;25.9;31.1
2017-04-13;29.1;33.1;21.0;38.0;32.0;25.1;25.1;27.1;25.9
2017-04-14;21.9;28.0;19.0;28.0;25.9;21.9;19.0;48.1;23.9
2017-04-15;15.0;19.9;18.1;15.0;18.1;11.0;16.1;36.9;18.1
2017-04-16;23.9;30.0;19.0;25.1;21.9;23.9;19.9;30.0;25.1
2017-04-17;16.1;13.0;17.0;21.0;23.0;14.1;23.0;28.0;17.0
2017-04-18;19.0;21.9;21.9;16.1;23.0;18.1;19.9;23.0;25.9
2017-04-19;19.9;19.0;18.1;19.0;25.9;23.0;23.9;40.9;23.9
2017-04-20;30.0;23.9;32.0;34.0;36.0;17.0;19.0;34.0;28.0
2017-04-21;18.1;19.0;21.0;21.0;21.9;16.1;18.1;31.1;19.9
2017-04-22;16.1;27.1;18.1;25.9;19.9;21.0;19.0;31.1;23.0
2017-04-23;23.0;33.1;19.0;25.9;29.1;23.0;17.0;23.9;25.9
2017-04-24;46.1;30.0;31.1;32.0;30.0;25.9;19.0;35.1;21.0
2017-04-25;32.0;28.0;36.0;29.1;40.0;18.1;19.0;13.0;28.0
2017-04-26;36.9;30.0;36.0;23.0;33.1;28.0;19.0;23.9;25.1
2017-04-27;31.1;23.9;42.9;35.1;38.0;23.0;17.0;21.0;29.1
2017-04-28;34.0;25.1;42.1;36.9;38.0;34.0;23.0;30.0;27.1
2017-04-29;19.0;23.9;46.1;16.1;29.1;25.1;21.0;27.1;30.0
2017-04-30;12.1;21.0;18.1;21.9;19.9;14.1;21.0;30.0;21.9
2017-05-01;13.0;23.0;17.0;21.0;21.0;30.0;15.0;40.0;25.9
2017-05-02;13.0;21.0;19.0;18.1;17.0;32.0;16.1;34.0;21.9
2017-05-03;16.1;18.1;21.0;13.0;18.1;17.0;16.1;30.0;19.0
2017-05-04;21.9;28.0;25.1;21.9;25.9;21.9;18.1;34.0;21.9
2017-05-05;15.0;35.1;18.1;36.0;19.0;25.1;15.0;45.0;28.0
2017-05-06;36.9;25.9;25.9;23.9;36.9;17.0;36.0;33.1;25.1
2017-05-07;16.1;23.9;27.1;21.0;19.9;32.0;32.0;28.0;25.9
2017-05-08;19.0;21.9;18.1;14.1;25.1;15.0;23.9;33.1;19.9
2017-05-09;21.9;25.1;21.0;19.0;29.1;19.9;19.9;30.0;28.0
2017-05-10;14.1;25.1;17.0;21.9;16.1;29.1;18.1;31.1;27.1
2017-05-11;21.9;25.9;17.0;28.0;25.1;25.1;21.0;30.0;25.9
2017-05-12;30.0;36.9;19.0;32.0;23.0;23.0;18.1;36.0;31.1
2017-05-13;32.0;28.0;23.0;28.0;25.9;21.9;21.0;50.1;28.0
2017-05-14;21.9;21.9;21.9;23.0;23.0;23.9;21.0;46.1;23.0
2017-05-15;30.0;27.1;;18.1;25.9;21.9;23.9;25.9;25.9
2017-05-16;17.0;31.1;21.0;25.9;23.9;29.1;19.0;30.0;21.9
2017-05-17;33.1;27.1;19.0;25.9;23.9;25.1;19.0;31.1;25.1
2017-05-18;25.9;28.0;23.0;;23.9;25.1;17.0;28.0;25.1
